State,Year,Decade,Region,DHS Denominator,Number of Firms,Calculated.Net Job Creation,Calculated.Net Job Creation Rate,Calculated.Reallocation Rate,Establishments.Entered,Establishments.Entered Rate,Establishments.Exited,Establishments.Exited Rate,Establishments.Physical Locations,Firm Exits.Count,Firm Exits.Establishment Exit,Firm Exits.Employments,Job Creation.Births,Job Creation.Continuers,Job Creation.Count,Job Creation.Rate,Job Creation.Rate/Births,Job Destruction.Continuers,Job Destruction.Count,Job Destruction.Deaths,Job Destruction.Rate,Job Destruction.Rate/Deaths
California,1980,1980`s,West,591536,37057,241,0.041,32.523,5583,13.165,5266,12.417,42567,3924,3985,17371,35458,60976,96434,16.302,5.994,65611,96193,30582,16.262,5.17
California,1981,1980`s,West,590284,36818,1569,0.266,30.359,5271,12.433,4894,11.543,42585,3376,3416,14736,38031,53140,91171,15.445,6.443,64586,89602,25016,15.179,4.238
California,1982,1980`s,West,582353,36204,-11046,-1.897,31.029,5560,13.193,5486,13.018,42180,3955,3986,17798,37764,52586,90350,15.515,6.485,71981,101396,29415,17.411,5.051
California,1983,1980`s,West,573190,37183,2255,0.393,31.335,5808,13.702,4114,9.706,43235,2895,2941,13177,31912,60148,92060,16.061,5.567,62284,89805,27521,15.668,4.801
California,1984,1980`s,West,596798,39236,50429,8.45,23.414,7062,16.039,4285,9.732,45419,3102,3175,14236,42634,77662,120296,20.157,7.144,44003,69867,25864,11.707,4.334
California,1985,1980`s,West,633660,39591,34390,5.427,29.156,6355,14.045,5101,11.273,45875,3836,3901,20901,52844,73921,126765,20.005,8.339,54779,92375,37596,14.578,5.933
California,1986,1980`s,West,651097,39482,19397,2.979,30.251,6034,13.297,5203,11.466,45795,3781,3848,19422,45237,72640,117877,18.104,6.948,63188,98480,35292,15.125,5.42
California,1987,1980`s,West,671678,39549,21702,3.231,29.952,6398,14.022,5336,11.694,46160,3816,3871,21076,45431,76860,122291,18.207,6.764,64715,100589,35874,14.976,5.341
California,1988,1980`s,West,694719,40139,19879,2.861,30.099,6324,13.566,5102,10.945,47228,3604,3643,21373,44266,80166,124432,17.911,6.372,66302,104553,38251,15.05,5.506
California,1989,1980`s,West,712457,40531,25881,3.633,27.666,6049,12.791,4782,10.112,47923,3554,3629,22386,48872,75562,124434,17.465,6.86,61079,98554,37475,13.833,5.26
California,1990,1990`s,West,738029,41362,27643,3.746,25.818,6163,12.786,4631,9.608,48967,3483,3541,19154,44921,77994,122915,16.654,6.087,65899,95272,29373,12.909,3.98
California,1991,1990`s,West,753246,41236,7551,1.002,29.49,5998,12.275,4964,10.159,49380,3612,3660,21679,46347,72270,118617,15.747,6.153,76192,111066,34874,14.745,4.63
California,1992,1990`s,West,774869,41708,16473,2.126,29.429,6025,12.189,4737,9.583,50073,3271,3331,20175,44352,86140,130492,16.841,5.724,79516,114019,34503,14.715,4.453
